,asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,product_availability
77,B0D5PLB2GX,"All-New Limited Edition, Disney Tim Burton’s The Nightmare Before Christmas Jack Skellington Shell for Amazon Echo Dot (4th &amp; 5th Generations). Device Sold Separately.",39.99,,3.8,4,1,39.99,False,False,False,False,10K+ bought in past month,False,
78,B0D489J3B4,"Blink Outdoor 4 + Blink Mini 2 — Smart security cameras, two-way talk, HD live view, motion detection, set up in minutes, Works with Alexa — 1 camera system + Mini 2 (Black)",139.98,,4.5,30,1,139.98,False,False,False,False,,False,
79,B08KH8JR91,"Certified Refurbished Amazon Smart Thermostat – ENERGY STAR certified, DIY install, Works with Alexa – C-wire required",34.99,69.99,4,869,1,34.99,False,False,True,False,4K+ bought in past month,False,
80,B0D8JY3JYG,Echo Dot with TP-Link Tapo Smart Color Bulb,49.99,74.98,4.3,67,1,49.99,False,False,False,False,List: ,False,
81,B0BL5SZ3VV,"Amazon Fire 10 Kids tablet (newest model) ages 3-7 | Bright 10.1&quot; HD screen with ad-free content and parental controls included, 13-hr battery, 32 GB, Blue",189.99,,4.6,3144,1,189.99,False,False,True,True,10K+ bought in past month,True,
82,B00O869KJE,"Amazon Basics 8-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",6.76,,4.7,802545,1,6.76,True,False,True,True,10K+ bought in past month,False,
83,B07WML2XTD,Ring Chime Pro,59.99,,4.6,52248,1,59.99,True,False,True,False,10K+ bought in past month,False,
84,B08M125RNW,"Ring Wired Doorbell Plus (Video Doorbell Pro) – Upgraded, with added security features and a sleek design (existing doorbell wiring required)",149.99,,4.5,48213,1,149.99,False,False,True,True,10K+ bought in past month,False,
85,B0CBL72HYD,Blink Weather Resistant 13ft Power Adapter for Blink Mini 2 and Blink Outdoor 4 (White),9.99,,4.6,641,1,9.99,False,False,True,False,2K+ bought in past month,True,
86,B0B2BY4ZG7,"Ring Battery Doorbell Pro | Two-Way Talk with Audio+, 3D Motion Detection, and 1536p HD+ Head-to-Toe Video (2024 release)",229.99,,4.4,1055,3,172.49,False,False,True,True,9K+ bought in past month,False,
87,B0B1N6CR7X,"Certified Refurbished Blink Outdoor 4 (4th Gen) – Wire-free smart security camera, two-year battery life, two-way audio, HD live view, enhanced motion detection, Works with Alexa – 2 camera system",164.99,,4.5,26,1,164.99,False,False,True,True,3K+ bought in past month,False,
88,B09N6F9NV3,"Amazon Fire TV 32&quot; 2-Series HD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",99.99,139.99,4.4,8848,1,99.99,False,False,True,False,1K+ bought in past month,False,
89,B0B27JY45L,"Ring Solar Panel (2nd Generation), 4W for Stick Up Cam, Stick Up Cam Pro, Spotlight Cam Plus, Spotlight Cam Pro - White",59.99,,4.6,8388,3,58.8,False,False,True,False,10K+ bought in past month,True,
90,B0D38DHQG1,"New Amazon Fire HD 8 Kids Pro tablet, ages 6-12 | 3GB memory, 8&quot; HD screen, slim case for older kids, ad-free content, parental controls, 13-hr battery, 32GB, Marvel Avengers, (2024 release)",149.99,,3.7,8,1,149.99,False,False,True,True,200+ bought in past month,False,
91,B0B72GF2MH,Ring Spare Parts Kit for Video Doorbell (2nd Generation),4.99,,4.7,24553,1,4.99,False,False,True,False,2K+ bought in past month,False,
92,B09B9CD1YB,"Amazon Echo Dot (5th Gen, 2022 release) Kids | Designed for kids, with parental controls | Owl",59.99,,4.7,13480,1,59.99,False,False,True,True,10K+ bought in past month,True,
93,B0BTTTWHBW,"TOSHIBA 65-inch Class C350 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (65C350LU, 2023 Model)",349.99,419.99,4.4,3650,1,349.99,False,False,False,False,3K+ bought in past month,False,
94,B07KRY43KN,"Echo Glow - Multicolor smart lamp, Works with Alexa",29.99,,4.5,49777,1,29.99,False,False,True,True,10K+ bought in past month,False,
95,B09RX4HKTD,"Amazon Alexa Voice Remote Pro, includes remote finder, TV controls, backlit buttons, requires compatible Fire TV device",34.99,,4.5,16611,2,27.05,False,False,True,False,10K+ bought in past month,False,
96,B0BLBLRLJB,"Amazon Fire 7 Kids tablet (newest model) ages 3-7. Top-selling 7&quot; kids tablet on Amazon | ad-free content with parental controls included, 10-hr battery, 16 GB, Blue",109.99,,4.4,21005,1,109.99,False,False,True,True,10K+ bought in past month,True,
97,B0CGW39394,Amazon eero CAT6a Ethernet cable | Supports 10 gigabit+ speeds | 3 foot | 1-pack | Arctic White,7.99,,4.6,105,1,7.99,False,False,True,False,200+ bought in past month,True,
98,B09YGLYSDM,"Ring Small Solar Panel, 1.9W for Stick Up Cam, Stick Up Cam Pro, Spotlight Cam Plus, Spotlight Cam Pro - White",39.99,,4.5,5980,4,36.05,False,False,True,False,10K+ bought in past month,True,
99,B0B8QDT177,"Certified Refurbished Ring Spotlight Cam Plus, Battery | Two-Way Talk, Color Night Vision, and Security Siren (2022 release) - White",98.99,154.99,4.4,856,1,98.99,False,False,True,True,1K+ bought in past month,True,
100,B07VHZ41L8,"Amazon Echo Show 10 (3rd Gen) | HD smart display with premium sound, motion and Alexa | Charcoal",249.99,,4.5,50429,3,110.79,False,False,True,True,2K+ bought in past month,True,
101,B0CKM795Z7,"Blink Video Doorbell + 1 Outdoor 4 smart security camera (4th Gen) with Sync Module 2 | Two-year battery life, motion detection, two-way audio, HD video, Works with Alexa",159.98,,4.4,430,1,159.98,False,False,False,False,,False,
102,B08YMBQJ49,Ring Alarm 14-Piece Kit - home security system with 30-day free Ring Protect Pro subscription,329.99,,4.7,6750,1,329.99,False,False,True,True,8K+ bought in past month,False,
103,B09W8KQ782,"Certified Refurbished Amazon Kindle Scribe (16 GB) the first Kindle and digital notebook, all in one, with a 10.2” 300 ppi Paperwhite display, includes Premium Pen",233.99,309.99,4.2,411,1,233.99,False,False,True,False,1K+ bought in past month,False,
104,B0BDT67VHL,"Kindle Paperwhite Essentials Bundle including Kindle Paperwhite (16 GB), Fabric Cover - Black, and Power Adapter",184.97,204.97,4.8,1484,1,184.97,False,False,False,False,List: ,False,
105,B0BWFDK7Y4,"Blink Outdoor 4 (4th Gen) – Wire-free smart security camera, two-year battery life, two-way audio, HD live view, enhanced motion detection, Works with Alexa – 4 camera system",339.99,,4.3,270,1,339.99,True,False,False,True,This product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap.,False,
106,B0BNPF5VNW,"Anti-Glare Screen Protector (2 Pack), for Amazon Fire HD 10, (13th Gen, 2023 release)",15.99,17.99,4.5,2249,1,15.99,False,False,True,False,10K+ bought in past month,False,
107,B0CKM699CQ,"Blink Video Doorbell + 2 Outdoor 4 smart security cameras (4th Gen) with Sync Module 2 | Two-year battery life, motion detection, two-way audio, HD video, Works with Alexa",239.98,,4.4,380,1,239.98,False,False,False,False,,False,
108,B014I8SSD0,"Amazon Basics High-Speed 4K Ultra HD HDMI 2.0 Cable/Cord, 6 ft / 1.8m, 18 Gbps, 60 Hz, 2160p, 48 bit, Male-to-Male, Ethernet Ready, 3D, Black",6.99,,4.7,247158,2,5.52,False,False,True,False,10K+ bought in past month,False,
